Content,Video title,Video publish time,Duration,Engaged views,Average percentage viewed (%),Stayed to watch (%),Unique viewers,New viewers,Returning viewers,Casual viewers,Regular viewers,Hypes,Hype points,Subscribers gained,Subscribers lost,Likes,Dislikes,Likes (vs. dislikes) (%),Shares,Comments added,RPM (USD),Rubies,End screen element clicks,End screen elements shown,Clicks per end screen element shown (%),Card clicks,Cards shown,Clicks per card shown (%),Card teaser clicks,Card teasers shown,Teaser clicks per card teaser shown (%),Community clip views,Watch time from community clips (hours),Remix count,Remix views,Post subscribers,Views from playlist,YouTube Premium views,YouTube Premium watch time (hours),Views,Watch time (hours),Subscribers,Estimated revenue (USD),Average view duration,Impressions,Impressions click-through rate (%)
VZpyZorLlVI,Napoleon’s Cavalry ⚔️ Types of Cavalry 🐎,"Nov 8, 2025",144,816,57.57,60.93,769,88,680,673,7,0,0,5,0,30,0,100,4,0,0.213,0,0,0,,0,0,,0,0,,0,0,,,0,3,106,1.0471,1510,18.9922,5,0.173,0:01:22,1726,4.87
liPVi1T2eko,Napoleon's IRISH Legend ☘️🎖️GENERAL William Lawless,"Mar 9, 2026",104,618,71.7,68.19,594,234,353,289,64,0,0,3,0,57,0,100,2,1,0.28,0,0,0,,0,0,,0,0,,0,0,,,0,,117,1.1772,1058,12.9314,3,0.173,0:01:14,2732,6.15
JWlU2w26N5E,The Anti-Murat : Bessières EXPLAINED 🛡️,"Feb 16, 2026",158,571,63.8,68.11,550,228,322,294,28,0,0,2,0,74,1,98.67,2,4,0.289,0,0,0,,0,0,,0,0,,0,0,,,0,,94,2.6721,938,16.0923,2,0.165,0:01:40,1232,6.49
3u7__p-skC4,THANKSGIVING - Origin Story : The Harvest FEAST of the MAYFLOWER Pilgrims + NATIVE Wampanoag,"Dec 17, 2024",1474,33,23.07,,26,25,1,1,0,0,0,0,0,1,0,100,1,0,4.97,0,0,0,,0,0,,0,0,,0,0,,,0,1,4,0.5518,33,3.1166,0,0.164,0:05:39,462,3.25
EmA9C3T_ae0,NAPOLEON 🐎💥 Battle of the PYRAMIDS,"Mar 3, 2026",177,520,58.68,69.58,499,281,218,188,30,0,0,2,0,41,1,97.62,3,1,0.314,0,0,0,,0,0,,0,0,,0,0,,,0,,79,0.9612,882,15.1077,2,0.164,0:01:43,3600,3.33
QzHw7sG6E1s,Napoleon 🇫🇷 CORPS : Battalion Carre,"Oct 17, 2025",69,66,68.6,,60,31,28,27,1,0,0,0,0,3,0,100,0,0,1.921,0,0,139,0,0,0,,0,0,,0,0,,,0,3,14,0.1455,66,0.8678,0,0.163,0:00:47,619,3.39
666dq66NahA,🇫🇷 NEY  ⚔️  Bravest of the Brave,"Jan 29, 2026",179,698,50.18,68.84,686,519,167,163,4,0,0,3,0,47,1,97.92,1,0,0.229,0,0,0,,0,0,,0,0,,0,0,,,0,,77,1.2894,1101,17.5418,3,0.161,0:01:29,1069,2.62
uIbMaVjm65I,Napoleon’s IMPOSSIBLE Rise 🇫🇷👑,"Jan 28, 2026",128,546,37.77,64.19,542,425,117,113,4,0,0,6,0,60,1,98.36,0,0,0.295,0,0,0,,0,0,,0,0,,0,0,,,0,,106,0.8846,891,7.46,6,0.161,0:00:48,2348,0.85
CopzrE937ug,⛳️ MAKE a 3D Mini GOLF GAME 🎮 In 5 MINUTES!🏌️,"May 18, 2025",333,38,12.82,,38,34,2,2,0,0,0,0,0,1,0,100,2,0,4.457,0,0,0,,0,0,,0,11,0,0,0,,,0,,4,0.1085,38,0.4507,0,0.158,0:00:42,133,0.75
8ELyg-KffZ4,Marshal Bessières ⚔️  Napoleon's RIGHT HAND MAN,"Feb 24, 2026",159,508,51.45,66.53,490,249,239,220,19,0,0,2,0,71,1,98.61,0,1,0.308,0,0,0,,0,0,,0,0,,0,0,,,0,,94,1.0826,855,11.6385,2,0.156,0:01:21,2091,5.02
h1zK-eFAHdQ,🇫🇷🎺 Napoleon's TROMPETTES 🐎💂,"Jan 19, 2026",60,848,65.75,62.17,791,421,371,350,21,0,0,2,0,75,0,100,6,1,0.183,0,0,0,,0,0,,0,0,,0,0,,,0,,220,2.2918,1576,9.5125,2,0.155,0:00:39,2939,7.52
oT0mZ7uJxo4,AFTER Austerlitz  Pt.3,"Jan 16, 2026",116,812,50.91,78.81,759,204,555,532,23,0,0,1,0,97,1,98.98,4,1,0.181,0,0,0,,0,0,,0,0,,0,0,,,0,,136,1.6299,1227,13.4225,1,0.147,0:00:59,4288,7.79
