Content,Video title,Video publish time,Duration,Engaged views,Average percentage viewed (%),Stayed to watch (%),Unique viewers,New viewers,Returning viewers,Casual viewers,Regular viewers,Hypes,Hype points,Subscribers gained,Subscribers lost,Likes,Dislikes,Likes (vs. dislikes) (%),Shares,Comments added,RPM (USD),Rubies,End screen element clicks,End screen elements shown,Clicks per end screen element shown (%),Card clicks,Cards shown,Clicks per card shown (%),Card teaser clicks,Card teasers shown,Teaser clicks per card teaser shown (%),Community clip views,Watch time from community clips (hours),Remix count,Remix views,Post subscribers,Views from playlist,YouTube Premium views,YouTube Premium watch time (hours),Views,Watch time (hours),Subscribers,Estimated revenue (USD),Average view duration,Impressions,Impressions click-through rate (%)
40eCxrI5l8Y,COLOR VISUAL - Solid HUES + Vivid GRADIENTS : 4K HD Rainbow SCREENSAVER : 1 Hour : NO Sound : SILENT,"Nov 3, 2024",3694,44,2.21,,44,43,1,1,0,0,0,0,0,0,0,,0,0,2.636,0,0,0,,0,0,,0,0,,0,0,,,0,,4,0.0151,44,0.9965,0,0.116,0:01:21,11,0
CopzrE937ug,⛳️ MAKE a 3D Mini GOLF GAME 🎮 In 5 MINUTES!🏌️,"May 18, 2025",333,38,12.82,,38,34,2,2,0,0,0,0,0,1,0,100,2,0,4.457,0,0,0,,0,0,,0,11,0,0,0,,,0,,4,0.1085,38,0.4507,0,0.158,0:00:42,133,0.75
3u7__p-skC4,THANKSGIVING - Origin Story : The Harvest FEAST of the MAYFLOWER Pilgrims + NATIVE Wampanoag,"Dec 17, 2024",1474,33,23.07,,26,25,1,1,0,0,0,0,0,1,0,100,1,0,4.97,0,0,0,,0,0,,0,0,,0,0,,,0,1,4,0.5518,33,3.1166,0,0.164,0:05:39,462,3.25
0Njma8udlmE,Pink & Orange : 4K Gradient VISUALS,"Oct 19, 2024",3704,31,14.56,,27,22,5,5,0,0,0,0,0,0,0,,1,0,13.452,0,0,4,0,0,0,,0,7,0,0,0,,,0,1,5,1.1895,31,4.6426,0,0.417,0:08:59,89,8.99
89c3m7eVwlk,Jan Kozietulski 🐎 Poland's Hero of Somosierra 🚩,"Sep 25, 2025",258,29,39.69,,29,7,22,19,3,0,0,0,0,3,0,100,0,0,2.571,0,0,6,0,0,0,,0,0,,0,0,,,0,3,0,0,29,0.8248,0,0.072,0:01:42,664,3.61
lFzFJb32RWA,Joachim Murat 💂 Napoleon’s Daring Cavalry Commander 🐎,"Sep 4, 2025",187,27,38.84,,25,14,11,10,1,0,0,0,0,0,0,,0,0,1.889,0,0,0,,0,0,,0,0,,0,0,,,0,1,4,0.0139,27,0.5447,0,0.051,0:01:12,487,1.85
ZTbYH1I_Cto,NAPOLEON's 🇫🇷 TOP 3 Battle Strategies,"Oct 31, 2025",502,26,45.23,,25,6,17,16,1,0,0,0,0,0,0,,1,0,5.417,0,1,16,6.25,0,0,,0,30,0,0,0,,,0,3,6,0.3541,26,1.6399,0,0.13,0:03:47,514,2.72
rW4CWI4RXbs,* HYPERSPEKTIV * Best Video Apps #1 - TOP TOOL for creating UNIQUE VIDEO FX of UNMATCHED QUALITY,"May 3, 2023",853,24,9.3,,19,18,1,1,0,0,0,0,0,0,0,,0,0,3.875,0,0,2,0,0,0,,0,0,,0,0,,,0,,2,0.0087,24,0.5287,0,0.093,0:01:19,99,10.1
qsh_Jow7cko,Marshal Jan Bessières ⚔️  Napoleon's Steadfast Cavalry Leader,"Sep 17, 2025",210,23,55.83,,21,0,21,19,2,0,0,0,1,0,0,,0,0,2.545,0,1,16,6.25,0,0,,0,29,0,0,0,,,0,2,2,0.1017,23,0.749,-1,0.057,0:01:57,683,2.2
6GOvaVMuCY8,NAPOLEON BONAPARTE 🇫🇷 Rise to Glory!,"Jun 2, 2025",540,23,30.57,,18,10,7,6,1,0,0,0,0,1,0,100,0,0,2.15,0,0,8,0,0,1,0,0,21,0,0,0,,,0,,4,0.092,23,1.0547,0,0.056,0:02:45,257,1.95
